아이디,댓글 내용
  en,저는 잘 못 마시는데 20대 초반 마시다보면 밤새 마셨을때 최고 2병까지 마시더라구요.그리고 보통 첫 잔은 달게 느껴지고 그 뒤에 써요.. 아 소맥은 왜 단지 알고 싶어요 ~~~~
  sj p,전 술이 쓰다가 나이먹을수록 달던데 노화가오면 쓴맛이 좀 둔화되는건가요?ㅋㅋ
  Jinkwon Jeong,"참이슬이 21도 였던 2003-2005년경, 저는 참이슬을 마시면 경기이천 제조인지 충북청원 제조인지 맞추곤 했습니다. 수원지가 달라서 그럴수 있다 하네요"
  김현수,수능 망치고 그날 저녁에 먹은 소주가 그렇게 달 수가 없었어요...ㅎ
  김정한,"와..................난 진짜 술이나, 쓴커피 잘 마시는 사람들 이해를 못하겠음.영화나 드라마 보면 하도 맛있게 마시길레  한번  나도 도전해 볼까? 해서 사서 마시면아까워서 좀 마시다가 바로 다 버림.진짜 저처럼 알콜을 못 받아들이는 몸뚱아리도 없을듯.젊을때 뒷풀이 선배가 불러서 마셔야 하는 자리가 있다는 그 사실 하나만으로 이미 구역질이 나기도 했음술 한방울도 마시지 않았는데도."
  푸딩,저는 다른 소주는 다 괜찮은데 이상하게 진로만 마시고 나면 가슴이 두근거리고 밤에 잠이 안오더라구요ㅠ 이유가 있을까요ㅜㅜ
  Shady Kim,"... 슨생님 소주빼고 모든 술을 잘마시는 저는 왜 그런걸까요? ㅠㅠㅠ 진심 소주는 한방울만 마셔도 단전 깊은 곳에서부터 구토가 올라오는 느낌이에요;;;; 쓰다기보다 역겨워요 ㅠㅠㅠㅠ 아세톤 냄새나고 이딴걸 왜먹나 싶은데 더 독한 연태고량주, 위스키, 럼, 보드카 등등 다 마십니닿ㅎㅎ"
  판둥이,난 달게 느껴져서 술술들어가서 만취하는날이 있고 알콜의 역함이 느껴져서 안받는날이 있던데
  유튜브 지박묘,잘 보고 갑니당 :>
  쵸앙,어느 날은 되게 쓴데 어떤 날은 또 달고 그러던데요ㅋㅋㅋ 그건 왜 그런지 궁금해요
  moza 2B,저는 유전자가 적응해서 달게 느끼도록 하는 부분보다 블랜딩되어 단맛을 느끼게 되는 부분이 더 큰듯 해요. 소주 위스키 백주 이런건 좋지만 보드카는 도무지 정말 맛없습니다. 순수하게 취하기 위한 연료같은 느낌
  루로LooRo,문과: 술맛이 달다는 건 오늘 하루가....이과: 애초에 알코올은 쓰고 사람마다......체육과: 걍 마셔!!!!!!!!!!!! 가자!!!!!! 가즈아~~!!!!!!!!!2차 가자!!!! 3차!!!!!!! 4차..!!!!!!!! 5차!!!!!!!!!!!!!!!!!!!! 6..!!!!!
  MARTIN ASTON,냉장고에 오래 보관한 소주도 쓴맛이 더 강해진다던데
  박지은,전에 소주 차게먹는다고 냉동고 넣었다가 까먹어서 반쯤 언 소주 먹어봣는데 내인생에서 제일 쓰고 맛대가리옶는 소주맛이였음
  SueC,으…이즈벡이 달아서 안마시는 1인이었는데 주당의 주장이 아닌것으로 밝혀졌네요
  유흥기,술이 단건 아스파탐이 들어가서 그런거고 술이 쓴거는 아스파탐 광학이성질체가 쓴맛을 낸다고 하더라는 말이 있더라더라
  삼도공군통제사,군대 가기전 소주 대꼬리 혼자서 먹고 그랬는데 군대 갔다온 뒤로는 소주고 뭐고 술 자체를 못마시겠더군요 체질이 바뀐걸까요?
  ᄋᄋ너님 하는 말 잘 알아들었는데요.,"난 오이 이런건 잘 먹는데, 못먹는거 커피랑 토마토. 이 두개는 먹으면 커피는 아무리 시럽넣고 설탕을 넣고 믹스라고 해도 특유의 쓴맛?이 나서 목에서 넘기기가 힘들고, 토마토는 냄새부터 입덧하는 느낌 ㅜ"
  Corvo Attano,전 참이슬 처음처럼 진로 가리지않고 다 쓴데 참이슬하고 처음처럼은 첫맛부터 끝맛까지 그냥 쓴데 진로는 첫맛은 써도 끝맛이 조금 덜 써서 항상 진로를 먹는 편입니다근데 영상을 보고나니 진로를 마시면 가스나 변이 많이 나올수 있다는게 좀 그렇네요..
  카니발,소주 너무 역해서 못먹겠던대.... 회식때마다 진짜 고역이였음. 코로나때 회식없어져서 행복했는데 다시 한다니까 진짜 짜증남
  정수진,같은 해 기준 / 같은 소주라도 어느날은 첫 잔이 달고 어느 날은 첫 잔이 쓰던데 이유가 뭔가요?
  하람,쓴거 잘 못 먹는편인게 물약 먹을때 표정만 보면 소주 마시는 줄 알 거 같을 정도로 써서 표정관리가 안되여ㅜㅜ
  Bubble oOoO,소맥을 말면.... 쓴맛이 거의 없다시피 하게 사라지는데 이건 왜인가요?? 저는 주소 테라랑 진로로 섞습니다ㅋㅋㅋㅋ
  어머,컨디션 좋을때는 마실때 야~오늘 쫌 잘들어간다 느낌이고 안좋을때는 크 하면서 쓴맛이 더 강한거같아요 저는
  램프,저도 소주가 굉장히 역하고 비릿(?)한 느낌이 나서 못먹는데. 청하 라는 소주는 잘넘어가는데 이유가 궁금합니다.맥주나 와인 이런건 또 괜찮습니다. 흠... 왜 이럴까. 청하는 소주가 아닌걸까?
  차분하단,저는 먹는 날에 따라 어떤 날은 단맛이 더 나고 어떤 날은 쓴맛이 더 나더라고요. 그건 컨디션 차이겠죠? 그리고 온도에 따라 쓴맛이 나냐 단맛이 나냐 영향을 미치는 것도 같아요.
  시누장,인공감미료ㅋㅋㅋㅋㅋㅋㅋㅋ
  sprppr,근데 진로 이즈백은 첫잔부터 진짜 엄청 달던데...
  난몰라요,주정뱅이가 된 과학적 이유가 그나마 있어서 다행이다
  우식스,아닌데.. 소주만드는 공장에따라 맛이 달라요F1~3 까지 공장마다 다릅니다 ㅠㅠㅠ 만든날에 따라도 다르고요..
  더도 덜도 아닌 오렌지,근데 같은 술이라도 역하게 느껴지는 날도 있고 유독 달게 느껴지는 날도 있는데 그건 무슨 차이죠? 그냥 컨디션 차이인가?!
  히힛,저도 낙준쌤처럼 진짜 소주 너무 역해서 못먹는사람입니다..대체 맛있는 삼겹살 먹으면서 굳이 왜 돈내고 역겨운 소주를 곁들이는지 의문..
  하유랑,다른 쓴맛은 엄청 잘느끼는데 소주는 엄청 단사람 ㅋ(근데 아파서 술 지금 못마시고잇음...슬퍼...ㅜㅜ)
  누구씨,내가 소주 생각만 해도 나오는 표정=낙준쌤 표정
  1부계정,유전자 때문이었구나... 다들 이 쓴맛을 참고 먹는건줄... 처음엔 너무 써서 물티슈로 혀를 닦아냄
  무애색2,아 그래서 내가 소주단맛을 느끼고 에스프레소도 쓴맛을 잘 못느끼는거구나..
  Favor,처음처럼 광고 잘 봤습니다 ㅋㅋㅋ
  뜨개질하는 아랑,기본적으로 술에는 감미료가 첨가됩니다.
  huurr 44,"술자리 특유의 인격이 슬슬 풀리며 무의식들이 올라오는듯한, 편안함과는 다른 무질서의 와해된듯한? 분위기 느낌을 싫어해서예전엔 혼자 마트에서 과일주스 수준의 싸구려 포도주도 사다놓고 한잔씩 마셨었는데(제가 사온거 말고 가족이 사온 거라든지 딴데서 얻어마신 드라이한 포도주나 맥주 이런건 가끔 맛있는게 있기도 하더군요. 괜찮은 거였겠죠?)그것도 안마시니까 이젠 아예 못마시겠어요. 포도주 알콜 냄새 자체가 불쾌하게 느껴지는거 보면 예전에 맛있다 느껴졌던거도 이젠 못마시게 된거 같아요.개인적으로 화학약품같다고 느꼈던 소주에서 감미료 단맛을 느낄수 있는 인간이지만 술 안마십니다. 술 담배 이런건 정말 몸을 혹사시키는거 아닌지.. 나쁜걸 몸에 밀어넣는 거잖아요?건강하게 잘 관리해서 필요한 일들에 써야죠.아래 댓글들 읽다가 고수에서 비누맛이 나는게 유전자 때문이라는거에 놀랐네요.그럼 고수풀에서 비누맛을 못느끼는 사람들도 있다는 거잖아요? 그래서 다른 나라에서는 그 화장품맛 비누맛 나는걸 그렇게들 먹나봐요. 전 역해도 먹다보면 둔하게 적응되는건가 열심히 먹어볼걸 했었거든요."
  간지나는포그바,군대 첫 휴가 200일만에 나왔을때..동기들이랑 아침7시에 국밥집에서 소주 마시는데 ㅈㄴ 썼음
  ᄒᄒmonkymonky,"소주=알콜+물+미원 딱 저에게는 이 조합이 소주 맛이예요 과학 실험실에서 미원 찍어서 먹는 맛 ㅋㅋㅋ 소주의 알콜맛은 쓴 맛이라기 보다는 기분나쁜 소독약 맛 소주의 단맛 또한 미원 같은 인공감미료 맛이라 맛이 없네요 이게 맛있고 맛없고의 “맛” 즉,혀가 느끼는 감각이라기 보다는 물리적인 자극+인공적인 맛이기 때문에 저에게는 비호감인 듯해요 25도 40도의 증류주는 오히려 맛으로 느껴지는데 말입니다. 발효주 또는 향이나 특유의 재료 맛이 느껴지구요"
  쌩,소주는 너무 맛없어서 보드카에 토닉워터랑 주스 섞어서 칵테일 만들어 마시는데 훨씬 맛있음…
  구오구오,어떨때는 쓰고 어떨때는 달게 느껴지는건 몸컨디션의 차이일까요?
  miznashi akli,막걸리에도 감미료가 들어갑니다 그래서 시판용 막걸리는 달아요  직접 만드는것보다.
  말랑말랑두부,단거에 무친놈인데 소주 종류별로 단맛정도가  다르다고 느낀적 없음 ..
  wanna save the sea,이래서 처음처럼을 마시는구나 ㅋㅋ
  연쓰,삼겹살 곱창이랑 같이 먹으면 그렇게 달 수가 없어요~~ㅎㅎ
  찌니찌니,오 정말 잼있어요 
  insomniac,23세 대학생입니다여느 술자리가 그렇듯 맥주 보다는 소주의 주량을 중요하게 생각하죠 맥주를 왜 마시냐면서 이해하지못하는 표정으로 바라보고...저는 소주가 정말 쓰게 느껴집니다첫잔은 소주 풀잔이 정해진 룰같은 느낌이라꾹 참고 한번에 털어 넣으면 유치원생적 감기에 걸릴때마다가루형 감기약을 먹었던 것처럼쓴 것 뿐만 아니라 몸에서 거부하는 듯소주를 개워낼려는 헛구역질이 나옵니다맥주밖에 못마시니까 일부러 맥주를 좋아하는듯이 컨셉을 잡게되고소주를 어쩔수없이 마셔야되면 폭탄주를 말아 그나마 덜 역하게 먹거나 합니다남들은 잘만 마시는 소주를 왜 저만 이렇게 고통스럽게 마시나 억울하기도 하고 많이 힘들었는데 과학적으로 설명을 해주시니많은 도움이 되는것 같습니다 감사합니다
  ㄱㄹㅇㄱ,"근데 저 드라마에서 저대사의 맥락은어느 날은 쓰고 아느날은 단데단 날은 당신이 오늘하루 인상적이었다는 말로.. 얼마나 그 하루가 고단했는지를 위로하는 말이라고 생각했는데 매번 들어있는 인공감미료나 DNA 차이가 아닌, 그날 상황에 따라 맛이 변한 걸 묘사하는거라 살짝 느낌 다르지 않나싶음.."
  스이긴토,저는 회식자리가 아니면 술을 마시지 않습니다. 대부분이 항상 쓰게 느껴지지만 정말 어느때는 달게 느껴지는게 아니라 그냥 물을 먹듯이 아무맛이나 느낌이 안느껴질 때가 있던데 그것도 유전자 때문인가요?
  카니쉬,소주는 너무 써서 맛구별도 안되고 그러던데...  이유를 알았다
  김현성,물마실때 달게 느껴지거나 쓰게 느껴지는것도 같은 이유일까요???
  stay hard!!!,"알콜, 당알콜, 고기, 쌈채소, 마늘 등 양념=> 대장암 걸릴려고 작정"
  왈와리,소주가 거의 알코올 소독약 들이마시는것처럼 느껴짐오이 수박 참외 멜론도 못먹는...
  jaehoon Yoo,저는...빈속에 먹으면 소주가 달게 느껴집니다. 배부른 상태에서는....써요 ㅎㅎㅎ
  Jed Kim,캬~ 오늘 유익했다 
  서연,결론으론~ 도수가 점점 낮아져서 달달하게 느껴집니다
  Qwert Qwert,소주 마실때 첫잔은 정말 시원하고 물처럼 넘어가는데 다음잔부터는 역한향이 막 나는데 이건 왜 그런건가요
  pap pop,ㅋㅋㅋ저는 술찌라 소맥3잔?먹으면 바로 토하는 사람...ㅋㅋ쓰고 울렁거리고 식도랑 위모양이 느껴지는 느낌 개극혐...ㅋㅋ친구들은 맨날 소주 마시면서 크~~달다! 하는데 저는 콜라 마시고 크~~ 달다! 합니다ㅋㅋㅋㅋ
  으,알콜 알레르기랑 커피먹으면 심장 빨리 뛰는데 이것도 유전인가
  나2륨,맥주보다 소주가 더 잘맞는데 그이유가 맥주는 먹으면 가스 때문에 더 배가불러서...
  고구마잼,뭐 말하는것도 맞는 말이지만 힘들게 일했을때 첫잔의 달콤함은 맞는 말이죠. 그이후에는 쓰지만 경험해보면 알잖아요. 원래 술이 단게 아니라
  애란김,단맛이 한잔 두잔에서 느껴지다가 세잔부턴 써지던데...
  k달봉,오우??? 난 약간 술이달다는 비유적인 말인줄알았는데?? 잘들어가는날?뭔가 촵하고 목구멍에 떨어지는날!? 술이 달다! 했는데... 징짜 완전 단맛이 나는 사람이 있구나....
  녹차V,10년간 만난 여자친구랑 헤어진 날...그리고 이후 2주...  그냥 세상이 아무맛도 안났습니다
  성이름,술과 쓴맛 이야기가 나와서 말하는 거지만 주사 맞고 알콜소독에도 알레르기 처럼 피부가 발진처럼 일어남지금이야 술권하는 문화가 없어 졌지만회식 억지로 참가하게 하고 술 못막는다 설명해줘도 술 한잔 먹는다고 안죽어 이ㅈ랄하면서 술권하는 ㅅㄲ들 정말 때려 죽이고 싶었음
  NS,인생의 쓴맛을 느낀 날술이 더 달다
  시나브로†,술맛이 달다는건 그냥 그 술이 진짜로 단겁니다.
  최서윤,날별로 또 다른것 같은데 정말 순전히 느낌인가요?
  cheeeze _,대부분 쓴맛이 나던데첫잔이 달달한 날은 아주 큰일나는거임 허허
  muria choi,어으 소주가 달다니..진짜 쓰고 떫고..진짜 돈준다고해도 절대 안먹는데
  우파르파,참이슬 F1 F2 맛 차이가 나는 이유는 뭔가요
  흐흐흐히히호,어떤날은 쓰게 느껴지고 어떤날은 달게 느껴지는 이유는 뭘까요? 날마다 유전자가 바뀌지는 않을텐데 궁금합니다
  RR,ㅇㅈㅇㅈ 술은 개쓰고 커피는 괜찮고~~ 야채는 그냥 치아랑 닿으면서 스티로폴 소리나는게 개시러
  오키뽀이뽕,몸이 피곤하거나 아프면 뭘먹어도 쓰던데 이것도 같은건가요? 일많이하면 다써요 ㅋ 
  J.J. Park,원래 소주를 좋아했었는데... 맥주에 맛들리고 나서 다시 소주 먹어보니 감미료 맛이 너무 비리고 역해서 도저히 소주는 다시 못 먹겠는...
  매일우는직장인,근데 여담으로 소주 많이 마시면 토마토맛 존나 남…
  ta tock,역시 제가 어릴때 반찬 5개중 4개를 거르는 이유는 있던거였어요
  PINKBERRY,인공감미료맛 느낀 적 있음! 근데 대부분 역함... 달다고 맛있는건 아니죠 콧물약이던가 무슨 시럽 엄청 달잖아여 근데 완전맛없어 ㅠㅠ가스활명수 같은 것도 나는 먹을만 한데 완전 으웩 하는 사람도 있고..거기도 합성감미료 들어간 거 다 티나요 ㅋ
  Joo,아스파탐 쵝오!
  Nickie Kang,저는 생각만해도 너무 단데ㅋㅋㅋㅋ저랑 완젼히 반대네요ㅋㅋㅋ
  수현김,다 필요없고 오늘 하루가 인상적이어서 그렇다. 박새로이가 그렇다면 그런거다
  ㅁㅅㅇ,"야채도 잘 먹고, 커피도 마시는데 소주는 너무 써ㅠㅠ"
  완두콩,"아 그래서 소주만 마셔도 살찐다는게.... 앟사,,,,.."
  재앙,소주에 사카린 들어가다가 이제는 스테비아 들어가네 ㅋㅋ
  ㅋㅋ,나도 단거먹다가 쓴거먹으면 많이 안받던데 ㄹㅇ
  별,날마다 다름어떤날은 달고 어떤날은 쓰고 ㅋㅎㅎㅋㅋ
  전주댁,소주가 쓰다는 걸 정말정말 이해 못하겠어요ㅜㅠ 소주에… 쓴맛이 있나요??ㅜㅠㅠ 어떻게 이게 쓰지?? 걍 너무 달아서 못마시겠던데… 걍 술이 쓰다는 게 이해가 안되요. 단한번도 느낀 적 없는 감각ㅠㅠㅠ 근데 이런소리 하면 다들 주당이나 알콜중독인줄 알아요ㅋㅋㅋ(억울) 알콜에 좀 둔감한? 암튼 그런 사람인가봐요ㅋㅋㅋ 보드카랑 고량주도 안써요… 혹시 내가 알콜중독에 취약한 유전자인가 엄청 걱정했는데 막 그런건 아닌것같아서 다행이네용ㅎㅎㅎ 그냥 그럴수있구나… 소주 넌 원래가 투머치스윗
  bbockHY,"소주 생산지에 따라 진짜로 같은 상품이어도 단 소주가 있고 쓴 소주가 있대요. 이천인가 어디 물좋은데서 만들면 그렇게 달다던데..?! 저도 소주 싫어하는 사람이라 자세히는 모르지만, 물에 들어있는 미네랄까지는 성분에 표시를 안하니까 뭐.. ㅋ"
  Vita Roze,퇴사한날마신 소주가 세상에서 젤 달았습니다...ㅎ
  윤시하,아니 ㅋㅋㅋ 개소립니다 썸네일 너무 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 깨잖아요 ㅋㅋㅋㅋ
  양우창,근데 나는 소주먹을때 세번중에 두번은 쓰고 한번은 달다고 느껴지던데 그런건 뭐때문이지
  SSUNG YOON,머위나물같은건 거의 지옥이겠따...
  양이,"걍 신선도임,,,. 오래된건 씀 그래서 술집도 사람많아서 술 회전률 높은데로 감"
  Songhee Hwang,위스키는 진짜 달아요..... (내돈내산)- 지금 한 잔 하고 이썼는데엥~~~~~~(안 취함. 진심임. 정말로~~~)- AVI 타입이 확실한 것 같습니다.....
  김병만,평소엔 쓰고 하루가 고된날은 달던데 맛탱이가 가서 그런건가요?
  검둥이,그런데 말입니다 같은 회사 같은 종류 소주라도 쓰게 느껴질때가 있고 달게 느껴질때가 있음 내생각에는 소주가 오래되면 쓴게아닐까 생각됨항상 달고 항상쓴게 아님
  k memory,근데 단걸 좋아하는 사람은 술을 싫어하고 단걸 싫어하는 사람은 술을 좋아한다고하던데 ㅋㅋ
  Dong geon Lee,소주는 냄새만 맡아도 올라옴... 맥주 와인 체고!
  성이름,그냥 단맛 쓴맛 알콜맛 셋다 뒤지게 남 그래서 소주를 안마셔...
  두 톨,근데 진짜 한번도 소주가 쓴적이 없는 사람이라 애들이랑 술 마실 때 소주가 달다 그럼 얘 오늘 술 잘받는 날이네 이럼;; 난 진짜 달아서 달다 그러는건데ㅠㅠ
  પ નુલુંગ ખਅ,저는 어느날은 고로쇠처럼 달고 어느날은 진절머리가 나게 씁니다.그날 고생을 한다고 해서는 달아지지 않더라고요.
  흥선동매콤주먹,오래 묵은 소주는 쓰고 갓 들어온 소주는 달아요(가게에 입고된지 오래된건 쓰고 입고된지 얼마 안된건 달아요) 전 그냥 늘 달아요... 캬하 큰일이다 오늘도 달리겠다
  bc a,술먹으면 토하는 이유도 궁금합니다
  강지승,오진승선생님은 알코올같은거 가까이 하시면 정신건강에 해로워요~ 할줄 알았는데 바아로 달다 박아버리네
  설화,일단 단 맛은 못 느끼겠는거보면 그 유전자가 아닌가 싶기도
  피K치,"음식에 사이다지 왜 더 비싼 술을 먹냐며,,,"
  김민수,나는 소주 쓴맛은 역하고 위스키 쓴맛은 뭔가 맛있던데....
  DJ Silver,꽉 채워서 하면 5잔…ㅋㅋㅋㅋㅋ
  Minsu Gu,역시 내과가 최고야
  Coa S,소주를 차게 마셔야 하는 이유
  토라,다른 독한술들은 잘먹는데 소주는 진짜 역하고 맛없어서 안먹는 1인
  xgfreedom,흠 전 음식에서 쓴맛은 안나는데 술은 아직도 쓰다는...
  k  k,술은 먹을수록 는다는 개소리도 차단할 수 있는 영상이 필요해요 ㅠㅠ
  Haru [ROK],??? : 술이 달다~ 나처럼 고생하고 사는 놈들은 술이 달아~본인 : 어휴 백수쉑 또 지랄이누...
  안인,진짜 소주가 전혀 안쓸때가 있는데. 그런걸 개소리라고 하는 사람들은 그냥 본인이 겪은 경험만 믿는 사람들임. 말싸움해봐야 전혀 소용이 없음. 그냥 그려러니하고 넘어가야.
  기로로하비TV,소주가 어떤날은 쓰고 어떤 날은 단건 왜그렇죠?
  ㅇㅇ,아 소연이가 이래서….!
  왕종혁,와아 .. 이건 진짜 처음 알고 신기하다.. 처음처럼.
  gh k,어느날은 쓰고 어느날은 단데 그건 왜그런거죠? 이건 진짜 그날 하루가 써서 그런겁니까?
  행복해져라얍,그래서 내가 아무리 소주를 들이부어봐도 적응을 못했던거구나...
  유메 정,소주도 감미료가..내가 안 좋아하는 에리스리톨. 스테비아.
  iliiIliIliilIlii,야채를 다 싫어하지만오이를 진짜 극혐하거든요수박 메론 참외에 전부 오이맛이 나는데사람들은 이해를 못해요...어렸을 때는 소주랑 맥주만 마셨는데주머니가 넉넉해지고와인이나 칵테일 위스키같은거 먹으니까소주는 이제 역해서 못 먹겠어요...내장류나 해산물은 거르는게 단 1개도 없고음식이 단 것도 싫어해서 아재입맛 같다가도야채 풋내가 쓴맛이 강한 야채는도저히 못 먹겠어서 애기 입맛 같기도 하고..
  신재인,커피는 써서 못 먹는데 술은 달아서 잘 마시는 분 ㅋㅎㅋㅎㅋ..?
  ㅎ하,2병까지 달고 취하고 부터는 너무 씀
  モンスターミルク,술맛에서는 단맛이 느껴지고 커피도 잘마시는데 걍 알콜분해능력이떨어져서 술도 개약함. 그래서 술아예안마심
  빡노인,물처럼 넘어가는 날은 술마시면 큰일나는 날이죠.
  최윤동,예전에 막노동? ㅈㄴ하고먹었을땐 ㅈㄴ달았는데 그뒤론 계속 똑같이 쓴맛나던디 그때 그냥 힘들어서 쓴맛을 느끼기힘들었던 상태인건가
  혜화,기대하고 먹어봤는데 왜!!!!!! 이 맛없는걸 먹는거냐아아아아아아!!!!
  쌈자,저는알콜이라는화학약품에 인공감미료때려넣은걸 소주라고부르기로했습니다
  SiHyeong Lee,한국은 저거 맛없다고 안먹을 수 있는 나라가 아니니깐 ㅎㅎ
  산탄,소독용 알콜을 마시니 쓴게 맞습니다
  유당탕,오이랑 토마토 쓰고역해서 못먹는 1인인데 술은 달아요.....ㅋㅎㅋㅎㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그리고 아이스아메리카노는 달고사는....
  A소영,딱 첫잔만 달고 두번째잔부터는 사약같아지는 나같은사람은 없나..........
  illuminus,초록병소주는 그 특유의 알콜향인가? 막 매니큐어 입에 털어넣는거 같아서 싫어함 맥주와인막걸리는 그런게 없어서 좋아하지 ㅋㅋㅋ
  D Noname,소주는 씁니다! 커피도 써요! 아메리카노를 잠깨려고 마시지 맛때문에 먹은 적이 없습니다.
  Good boy,술이 달긴단데 맛대가리가 없어서 못먹겠던데….술이 달지 않나요!!??? 그런데 맛이없어서 도저히 못먹겠음 화학약품 냄새 우욱
  리얼남매,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ강경ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
  Brian Moon,저는 첫잔은 괜찮은데 두번째 잔 부터 엄청 쓰게 느껴지더라구요. 그건 뭐지
  야채맨,소주시음해보는 의학채널ㅋㄱㅋㄱㅋㄱㅋㄱㅋ
  수정이,썸네일 박서준ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
  행복한JUDY,너무 단 소주. 주량도 없고. 달아서 달아서 양볼 안쪽이 찡할정도이면 진짜 유전자가 미쳤다는 소리군. 그래서 너무 달아서 싫은 소주보다 구수한 맥주를 ㅎㅎㅎ
  Myozin,결국 단맛이 나는 뭔가를 넣어서 단 거였군요
  참외깎는노인,소주가달면 그날 배고프거나이미 맛탱이가 가거나 둘중하나라고 생각함ㅋㅋㅋ포카리스웨트먹고 취할래소주먹고취할래 하면 죄다 포카리스웨트 고를거면서 달다는무슨ㅋ
  이태영,난 문과지만 매번 하는 소리 “유통기한” 유통기한에 임박할 수록 씀
  abcd egh,소주가 달면서 쓴건 유전자 2개가 섞인 걸까요?
  fatman,확실히 노동후에는 술이 달아요
  나인소어,"개인적으로 대학생 때 술을 처음 마셨는데 처음 마신 술이 고량주라 그런가 소주보다 고량주, 보드카를 먼저 접해서 소주를 싫어하게 됬어요 소주는 너무 맛이 이상하고 달달한 감미료 떡칠이어서 맛이 너무 괴상한 맛이 난다고 해야 할까.. 소주를 마실바엔 보드카를 마시죠"
  옥자,전 소주가 항상 너무 느끼하더라고요 ㅠㅜ
  랍흠,오이 고수 에스프레소든 다 잘 먹고 마시는데 술만큼은 너무 쓰네요…
  회사원 마사장,"확실한건 소주가 달았던 날은 만취했다 늘,,"
  마동석,최소한 이분들 음주 잘 안하시는분들 ㅋㅋ
  SJ K,흐앙 쿠키영상 낙준낙준샘 넘 귀여워요 ㅠㅠㅠㅜㅠㅜㅠㅜㅠㅜㅠㅠㅜㅜㅠㅜㅠ
  ninetynine99,내가 증류주? 자체도 안좋아하지만 소주는단맛까지 나니까 더 역해서 안먹음보드카나 코냑이 에스프레소라면소주는 스위트 아메리카노같은 느낌그래서 인지 개중에 도수 제일 높은참이슬 오리지널이 그나마 나은 듯
  장진우,쏘주가 평소에는 쓴데 진짜로 달달할때가 있근데그날그남 다름
  감람,전 소주가 달지만 알쓰라서 못먹습니다....알코올이 툭 치는게 싫은것도 있고요..흐힁
  김하람,쎔네일 ㅋㅋㅋㅋㅋㅋㅋ
  원샷이라구!,쏘주가달다니 부럽다..
  우파루파,소주 차게 먹으면 소주 마실 줄 모르는 사람. 동의못하는 사람들 많겠지. 그만큼 소주를 제대로 마시는 사람이 없다는 거 ㅎㅎ
  벌ㄹ사냥꾼,반박할 여지가생기는데... 같은소주를마셔도 어느날엔 달고 어느날엔 쓴데 기본적으로 인공가미료나 개개인의 유전자차이? 라고만하기엔 설명이 안된다고 봅니다~~잘모르는 상태에서 추측을 하는건데 소주를 마셨을떄 침의 분비량에에따라 침과 소주가 만났을떄 달게 느껴지고 쓰게느껴지는게 아닐까 하는 생각을 해봅니다 틀린건가요??? 오늘따라 갑자기 소주가 달아서 궁금해 영상보고 댓글남깁니다 ㅋ
  엄근용,저는 마시다 덜 쓰게 느껴진다면 취하고있다는 것 같습니다
  마요네즈,편견은 과학으로 없앤다 ㅇㅅㅇ
  요플레따꿍,닥프 존잼
  인절미,ㅋㅋ 귀여우셔
  정석환,난 소주맛으로 그날의 컨디션을 체크함. 소주가 쓰다 오늘 몸상태 별로다 술안받는다소주가 달다 오늘 컨디션 굿이네 오늘은 달린다
  치레아,소주는 쓰기만하고 달기만 하지 않아요.. 두가지맛(??)이 다 있습니다....
  WOOJIN SON,소주는 항상 쓰고 맛없는데 어떤 날에 간혹 소주가 달때가 있어요
  ojy,우리아빠는 발효주 환장하시고 우리 어머니는 양주에 소주섞어마시는데 저는 소맥3잔마시고 길거리에 누웠네요...하핫
  뱅기,제가 쓴맛을 과하게 느끼고있었던거네요.. 저한테 소주는 맛이쓴음식의 수준이아니라 음식이아닌것을 먹는수준.. 화장품을 마시는거같은 역함이라반잔만 들이켜도 헛구역질이 올라옵니다..
  No.9 GV,운동하고 몸에 수분 적어지면 달아짐...
  YEE,소주에 있는 알코올이 쓴지 단진 모르겠는데 나머지 감미료가 뭔가 맛이 이상해...단데 맛있게 단게 아니라 느글거리는 느낌임....그래서 존나 단데 맛이 없어...역시 술은 ㄹ..
  최민서,토마토와 오이 커피 다먹는데 커피는 써요 ㅠㅠ 이건 무슨유전자에요? 늙으면 달아지나요?ㅠㅠㅠ
  오메가3,정작 나에게 술권유하는 사람들은 이 영상 안봄
  돌돌,저는 조리 안한 토마토 향만 맡아도 그 향 때문에 헛구역질이나 토를 하게 되는데 이건 왜 그런가요? 토마토 비린내가 너무 심하던데
  Taste Pioneer맛개척자,소주맛이 설탕 퍼먹는거보다 달던데ㅜ
  난사랭,전통 누룩 다 버리고  남미 뿌리 식물 전분이용해서  뽑은 에탄올에 물타고 감미료섞은 혼합주를 인생술처럼 쓰네 마네 밈만드는게 너~무 싫었는데 좋은 내용이네
  Wanderlust,스테비아 감미료를 때려 넣었는데 안달면... ㅋㅋ
  이상윤,전 소주 한번도 달다고 느껴본적이 없음 ㅋㅋㅋ
  자코,아하 시원하면 엄청 달고 미지근할 때 엄청 쓰구나
